dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_Another-Dataset-on-used-Fiat-500,carte,tabicl,300,512,0.4731106618353267,0.31514987349510193,1.093063473701477
tabarena_Bank_Customer_Churn,carte,tabicl,300,512,0.4016831258472844,-0.14003174006938934,0.98884516954422
tabarena_Bioresponse,carte,tabicl,300,512,0.29036617399691783,0.275023490190506,1.0683361291885376
tabarena_Diabetes130US,carte,tabicl,300,512,0.2702784559818661,0.12352927029132843,1.141252040863037
tabarena_E-CommereShippingData,carte,tabicl,300,512,0.845452811347154,0.692267894744873,0.5447385907173157
tabarena_Fitness_Club,carte,tabicl,300,512,0.4545758595068039,0.20936937630176544,0.8930818438529968
tabarena_Food_Delivery_Time,carte,tabicl,300,512,0.2643430971465174,-0.01685708574950695,1.1111513376235962
tabarena_GiveMeSomeCredit,carte,tabicl,300,512,0.6544433309328973,0.47738248109817505,0.8008978962898254
tabarena_HR_Analytics_Job_Change_of_Data_Scientists,carte,tabicl,300,512,0.43528292832318566,0.3453870713710785,0.9947818517684937
tabarena_Is-this-a-good-customer,carte,tabicl,300,512,0.4784521507481624,0.2553095817565918,0.9971346259117126
tabarena_MIC,carte,tabicl,300,512,0.34708751790493225,0.14367546141147614,0.9689069390296936
tabarena_Marketing_Campaign,carte,tabicl,300,512,0.19730211694179414,-0.18322207033634186,1.0945003032684326
tabarena_NATICUSdroid,carte,tabicl,300,512,0.47750727819906996,-0.27135857939720154,0.8567718267440796
tabarena_QSAR-TID-11,carte,tabicl,300,512,0.12618329035845063,-0.12377107888460159,1.2184972763061523
tabarena_QSAR_fish_toxicity,carte,tabicl,300,512,0.302152913400912,0.23992608487606049,1.001620888710022
tabarena_SDSS17,carte,tabicl,300,512,0.44753108059148405,0.008348037488758564,0.9189485311508179
tabarena_airfoil_self_noise,carte,tabicl,300,512,0.0987812983034194,0.0735073834657669,1.1733720302581787
tabarena_anneal,carte,tabicl,300,512,0.23394404106837727,0.20739169418811798,1.0230745077133179
tabarena_bank-marketing,carte,tabicl,300,512,0.46534616220982317,-0.20755615830421448,1.0118805170059204
tabarena_blood-transfusion-service-center,carte,tabicl,300,512,0.44739875799724466,0.06561209261417389,0.9242956042289734
tabarena_churn,carte,tabicl,300,512,0.5658395648114618,0.21883884072303772,0.8983379006385803
tabarena_coil2000_insurance_policies,carte,tabicl,300,512,0.40639330455307787,0.2477509081363678,1.0088188648223877
